BUR76	-116.45584	34.14939
MNW16-047-S58	-117.401	33.7009
NTP141	-117.25063	32.91449
PUESP14-70	-117.84434	33.98023
MNW15-061-S1	-117.496	33.9613
IW3206	-122.85982	38.64033
IW1426	-115.88857	35.77306
IW1493	-123.79027	40.01114
IW2916	-122.47486	37.58036
IW3203	-122.64935	38.4402
JEM16-001-S14	-117.017	33.9341
CHI1382/DAW5-46-21	-117.65747	33.88698
IW2744	-122.01627	37.42099
Array#33	-119.028	34.1101
MNW15-040-S24	-117.313	33.9855
IW3116	-118.46051	35.13909
IW2912	-122.49592	37.49569
NS19-002-S18	-116.757053	33.19713
JAM157	-116.77824	33.8093
MIS26	-117.04182	32.81677
IW3205	-123.00119	38.71644
PUE1594	-118.03729	34.00233
MLY75	-120.1484	38.92982
MVZ265298	-115.40425	35.14011
MLY74	-120.12153	38.93677
Array#77	-118.678	34.1844
JOS99	-116.01756	34.01265
MW01-3_-14	-119.68343	34.0181
MNW16-025-S28	-116.874	33.7369
MLY21	-121.99662	37.27375
MNW15-040-S84	-117.125	33.7061
MARSP28-18	-116.76332	32.59379
IW1497	-123.63105	40.94813
IW2782	-122.32455	38.41672
CAS219594	-118.4518056	35.80036111
IW2893	-122.27842	37.78378
CAS212656	-122.8166944	39.87311111
CAS227178	-121.2704722	40.68116667
IW1512	-122.19595	37.85054
CAS220675	-123.0644167	39.90536111
IW2086	-122.47357	37.79162
CAS213197	-118.0723056	35.62188889
CAS212620	-122.7266944	39.54927778
CAS213179	-118.1353611	36.025
CAS219452	-122.7762778	39.36177778
CAS224151	-118.4985	36.21638889
CAS225254	-120.0743056	40.06177778
CAS251463	-122.8419167	38.80530556
IW3213	-120.85677	37.52718
IW3292	-121.78094	36.24772
HBS136914	-116.7748	33.80954
IW1578	-122.08894	37.55198
CAS227116	-121.5013611	40.77961111
CAS227622	-120.5543833	40.55416389
IW1438	-121.91607	36.45616
MVZ257099	-119.8908333	35.00472222
DRC9-71-6	-116.94359	33.33438
MVZ265555	-118.23187	35.46931
CAS251436	-123.2462222	39.09325
LACM188840	-118.018456	34.177606
CAS259640	-120.1711694	39.86798889
GBP_4561	-118.639661	34.238272
MVZ265296	-115.4065	35.16634
GBP_4364	-118.844413	34.084178
LACM186734	-117.83517	34.29102
